Recall,QPS,Algorithm,Dataset
0.001,103.87074251344238,Dessert,DBpedia-entity
0.001,139.600440613779,Dessert,DBpedia-entity
0.001,69.96061467083466,Dessert,DBpedia-entity
0.002,97.8138038902844,Dessert,DBpedia-entity
0.002,93.54638446935478,Dessert,DBpedia-entity
0.003,50.34144846317484,Dessert,DBpedia-entity
0.004,86.15105032164347,Dessert,DBpedia-entity
0.004,58.75391287502283,Dessert,DBpedia-entity
0.006,43.826894480025295,Dessert,DBpedia-entity
0.01,52.547759672970784,Dessert,DBpedia-entity
0.015,18.522567073181065,Dessert,DBpedia-entity
0.018,20.3026501397824,Dessert,DBpedia-entity
0.019,10.666704582108103,Dessert,DBpedia-entity
0.037,11.50464158408805,Dessert,DBpedia-entity
0.09,3.042991382248405,IGP,DBpedia-entity
0.166,0.3160854960693188,IGP,DBpedia-entity
0.183,1.0539095829890563,IGP,DBpedia-entity
0.429,1.128281041268007,IGP,DBpedia-entity
0.701,4.184257984610299,IGP,DBpedia-entity
0.74,4.885317179217861,IGP,DBpedia-entity
0.144,1.4095267091216113,Plaid,DBpedia-entity
0.205,1.96012325255012,Plaid,DBpedia-entity
0.205,2.4267603719738298,Plaid,DBpedia-entity
0.226,2.649518979829212,Plaid,DBpedia-entity
0.226,2.6042751781324225,Plaid,DBpedia-entity
0.248,2.798345618070597,Plaid,DBpedia-entity
0.248,2.5025713921053883,Plaid,DBpedia-entity
0.264,2.255712026779813,Plaid,DBpedia-entity
0.264,2.626146969689012,Plaid,DBpedia-entity
0.288,2.4233553293218724,Plaid,DBpedia-entity
0.288,1.1711206336231077,Plaid,DBpedia-entity
0.334,1.0314169606205006,Plaid,DBpedia-entity
0.334,2.269065825599601,Plaid,DBpedia-entity
0.394,1.8264873543148024,Plaid,DBpedia-entity
0.394,0.8273960769842406,Plaid,DBpedia-entity
0.845,774.494,Multi-HNSW,DBpedia-entity
0.862,745.388,Multi-HNSW,DBpedia-entity
0.876,719.843,Multi-HNSW,DBpedia-entity
0.874,695.595,Multi-HNSW,DBpedia-entity
0.877,719.843,Multi-HNSW,DBpedia-entity
0.874,695.595,Multi-HNSW,DBpedia-entity
0.875,646.601,Multi-HNSW,DBpedia-entity
0.856,566.891,Multi-HNSW,DBpedia-entity
0.857,489.971,Multi-HNSW,DBpedia-entity
0.867,422.421,Multi-HNSW,DBpedia-entity
0.88,334.579,Multi-HNSW,DBpedia-entity
0.883,381.605,C-Multi-HNSW,DBpedia-entity
0.883,384.45,C-Multi-HNSW,DBpedia-entity
0.883,380.318,C-Multi-HNSW,DBpedia-entity
0.883,373.251,C-Multi-HNSW,DBpedia-entity
0.883,377.382,C-Multi-HNSW,DBpedia-entity
0.883,378.154,C-Multi-HNSW,DBpedia-entity
0.894,311.384,C-Multi-HNSW,DBpedia-entity
0.903,265.433,C-Multi-HNSW,DBpedia-entity
0.907,213.847,C-Multi-HNSW,DBpedia-entity
0.906,178.324,C-Multi-HNSW,DBpedia-entity
0.906,147.744,C-Multi-HNSW,DBpedia-entity
0.512,10.681478316599016,MVR-HNSW,DBpedia-entity
0.409,12.484394506866415,MVR-HNSW,DBpedia-entity
0.693,5.235053921055386,MVR-HNSW,DBpedia-entity
0.702,5.05382321726386,MVR-HNSW,DBpedia-entity
0.529,7.751337105650725,MVR-HNSW,DBpedia-entity
0.513,11.090163025396471,MVR-HNSW,DBpedia-entity
0.7,4.629415304846998,MVR-HNSW,DBpedia-entity
0.695,4.907493742945477,MVR-HNSW,DBpedia-entity
0.414,13.31026221216558,MVR-HNSW,DBpedia-entity
0.423,13.539128080151638,MVR-HNSW,DBpedia-entity
0.402,14.080540692762602,MVR-HNSW,DBpedia-entity
0.398,13.73060551970342,MVR-HNSW,DBpedia-entity
0.418,14.382281029771322,MVR-HNSW,DBpedia-entity
0.69,4.969684921975947,MVR-HNSW,DBpedia-entity
0.531,10.606703436571914,MVR-HNSW,DBpedia-entity
0.401,14.17434443656981,MVR-HNSW,DBpedia-entity
0.401,13.421017313112332,MVR-HNSW,DBpedia-entity
0.00971,2361.291560328036,Dessert,MultiModalQA
0.0111,542.5561624114375,Dessert,MultiModalQA
0.01248,2156.6037720046866,Dessert,MultiModalQA
0.01387,487.4367224232868,Dessert,MultiModalQA
0.0208,1079.2667865615806,Dessert,MultiModalQA
0.02219,912.2550007449936,Dessert,MultiModalQA
0.02635,171.82062174835264,Dessert,MultiModalQA
0.03051,565.3830735017921,Dessert,MultiModalQA
0.03467,660.8078410868186,Dessert,MultiModalQA
0.03467,198.4970352901277,Dessert,MultiModalQA
0.04438,105.80602787034172,Dessert,MultiModalQA
0.05964,111.12804102032602,Dessert,MultiModalQA
0.08738,14.422938240978452,IGP,MultiModalQA
0.09154,26.70940170940171,IGP,MultiModalQA
0.18863,8.763397043229837,IGP,MultiModalQA
0.00139,40.89812277616457,Plaid,MultiModalQA
0.00832,60.55834796826742,Plaid,MultiModalQA
0.00832,50.9917903217582,Plaid,MultiModalQA
0.01526,65.603883749918,Plaid,MultiModalQA
0.01526,46.18510992056161,Plaid,MultiModalQA
0.01942,59.38594928439932,Plaid,MultiModalQA
0.01942,43.34257975034674,Plaid,MultiModalQA
0.02358,55.12679162072767,Plaid,MultiModalQA
0.02358,54.4425087108014,Plaid,MultiModalQA
0.043,48.43553230650004,Plaid,MultiModalQA
0.043,51.13781641523907,Plaid,MultiModalQA
0.13315,42.473666326877336,Plaid,MultiModalQA
0.13315,41.51100041511,Plaid,MultiModalQA
0.28017,31.45247530980688,Plaid,MultiModalQA
0.28017,32.59664906447617,Plaid,MultiModalQA
0.38974,12.729934440837628,Plaid,MultiModalQA
0.332871,3011.38,Multi-HNSW,MultiModalQA
0.446602,2994.4,Multi-HNSW,MultiModalQA
0.493759,2988.48,Multi-HNSW,MultiModalQA
0.542302,2958.11,Multi-HNSW,MultiModalQA
0.568655,2953.91,Multi-HNSW,MultiModalQA
0.619972,2844.78,Multi-HNSW,MultiModalQA
0.654646,2183.13,Multi-HNSW,MultiModalQA
0.665742,1724.73,Multi-HNSW,MultiModalQA
0.690707,1243.56,Multi-HNSW,MultiModalQA
0.704577,959.874,Multi-HNSW,MultiModalQA
0.712899,786.005,Multi-HNSW,MultiModalQA
0.582524,3841.54,C-Multi-HNSW,MultiModalQA
0.582524,3814.86,C-Multi-HNSW,MultiModalQA
0.582524,3819.65,C-Multi-HNSW,MultiModalQA
0.582524,3839.44,C-Multi-HNSW,MultiModalQA
0.582524,3840.52,C-Multi-HNSW,MultiModalQA
0.582524,3849.48,C-Multi-HNSW,MultiModalQA
0.619972,3000.94,C-Multi-HNSW,MultiModalQA
0.642164,2411.13,C-Multi-HNSW,MultiModalQA
0.676838,1783.53,C-Multi-HNSW,MultiModalQA
0.699029,1404.93,C-Multi-HNSW,MultiModalQA
0.705964,1172.06,C-Multi-HNSW,MultiModalQA
0.42857,38.63987635239568,MVR-HNSW,MultiModalQA
0.41609,37.835792659856224,MVR-HNSW,MultiModalQA
0.55201,22.177866489243733,MVR-HNSW,MultiModalQA
0.31345,51.4668039114771,MVR-HNSW,MultiModalQA
0.54924,20.554984583761563,MVR-HNSW,MultiModalQA
0.55479,21.57497303128371,MVR-HNSW,MultiModalQA
0.0,1.3949548740422495,Dessert,CLEF
0.0,1.3660892215553533,Dessert,CLEF
0.00031,1.1440345867726005,Dessert,CLEF
0.00031,0.924116213647671,Dessert,CLEF
0.00031,1.0542193115696148,Dessert,CLEF
0.00031,1.2180922976584128,Dessert,CLEF
0.00031,1.1746727052744264,Dessert,CLEF
0.00031,0.7810012558358829,Dessert,CLEF
0.00031,0.997259425899739,Dessert,CLEF
0.0,0.0668356360660598,IGP,CLEF
0.01,0.0664550427980443,IGP,CLEF
0.015,0.0625963710254668,IGP,CLEF
0.015,0.058989052693623,IGP,CLEF
0.015,0.0659491791668389,IGP,CLEF
0.00153,7.115260098332894,Plaid,CLEF
0.00368,2.988437734405585,Plaid,CLEF
0.00521,1.254273938445252,Plaid,CLEF
0.00735,0.7320370908553195,Plaid,CLEF
0.01041,0.6033411828021217,Plaid,CLEF
0.01348,0.2774049763123891,Plaid,CLEF
0.02113,0.2328371108826203,Plaid,CLEF
0.094334,254.493,Multi-HNSW,CLEF
0.106585,217.65,Multi-HNSW,CLEF
0.108116,191.319,Multi-HNSW,CLEF
0.110873,171.775,Multi-HNSW,CLEF
0.108729,157.915,Multi-HNSW,CLEF
0.106585,111.928,Multi-HNSW,CLEF
0.107198,84.1819,Multi-HNSW,CLEF
0.10536,68.034,Multi-HNSW,CLEF
0.103522,49.712,Multi-HNSW,CLEF
0.105054,39.3898,Multi-HNSW,CLEF
0.104441,32.676,Multi-HNSW,CLEF
0.107198,109.379,C-Multi-HNSW,CLEF
0.108423,109.121,C-Multi-HNSW,CLEF
0.108116,108.866,C-Multi-HNSW,CLEF
0.108116,109.753,C-Multi-HNSW,CLEF
0.10781,109.11,C-Multi-HNSW,CLEF
0.10781,109.069,C-Multi-HNSW,CLEF
0.10536,83.1861,C-Multi-HNSW,CLEF
0.105972,68.3078,C-Multi-HNSW,CLEF
0.104747,50.4555,C-Multi-HNSW,CLEF
0.105972,40.2429,C-Multi-HNSW,CLEF
0.105972,33.6657,C-Multi-HNSW,CLEF
0.034,0.4497171279265342,MVR-HNSW,CLEF
0.053,0.1245744226286947,MVR-HNSW,CLEF
0.066,0.0731523544085266,MVR-HNSW,CLEF
0.047,0.283952159740127,MVR-HNSW,CLEF
0.054,0.1931441550715792,MVR-HNSW,CLEF
0.043,0.2757776239551475,MVR-HNSW,CLEF
0.0,19.231279166258105,Dessert,CLERC
0.0,10.478063838287019,Dessert,CLERC
0.0,3.1942015131789208,Dessert,CLERC
0.0,6.249412117411526,Dessert,CLERC
0.0,33.13414131740549,Dessert,CLERC
0.0,16.48277157037573,Dessert,CLERC
0.0,27.58939262126564,Dessert,CLERC
0.001,12.399150006460758,Dessert,CLERC
0.002,1.9824538685525102,Dessert,CLERC
0.002,6.649789125974529,Dessert,CLERC
0.002,2.1098200983440747,Dessert,CLERC
0.002,3.4119395222109947,Dessert,CLERC
0.007,1.838735538344991,IGP,CLERC
0.016,1.7989299964381187,IGP,CLERC
0.021,1.7536352859477697,IGP,CLERC
