Recall,QPS,Algorithm,Dataset
0.174,63,Multi-HNSW-64,Connections-64
0.228,63,Multi-HNSW-64,Connections-64
0.248,63,Multi-HNSW-64,Connections-64
0.251,63,Multi-HNSW-64,Connections-64
0.255,63,Multi-HNSW-64,Connections-64
0.263,63,Multi-HNSW-64,Connections-64
0.26,63,Multi-HNSW-64,Connections-64
0.261,63,Multi-HNSW-64,Connections-64
0.262,63,Multi-HNSW-64,Connections-64
0.263,63,Multi-HNSW-64,Connections-64
0.263,63,Multi-HNSW-64,Connections-64
0.213,34,C-Multi-HNSW-64,Connections-64
0.225,34,C-Multi-HNSW-64,Connections-64
0.226,34,C-Multi-HNSW-64,Connections-64
0.231,34,C-Multi-HNSW-64,Connections-64
0.232,34,C-Multi-HNSW-64,Connections-64
0.239,34,C-Multi-HNSW-64,Connections-64
0.229,34,C-Multi-HNSW-64,Connections-64
0.228,34,C-Multi-HNSW-64,Connections-64
0.228,34,C-Multi-HNSW-64,Connections-64
0.22,34,C-Multi-HNSW-64,Connections-64
0.215,34,C-Multi-HNSW-64,Connections-64
0.174,63,Multi-HNSW-128,Connections-64
0.233,63,Multi-HNSW-128,Connections-64
0.254,63,Multi-HNSW-128,Connections-64
0.256,63,Multi-HNSW-128,Connections-64
0.261,63,Multi-HNSW-128,Connections-64
0.267,63,Multi-HNSW-128,Connections-64
0.27,63,Multi-HNSW-128,Connections-64
0.267,63,Multi-HNSW-128,Connections-64
0.265,63,Multi-HNSW-128,Connections-64
0.264,63,Multi-HNSW-128,Connections-64
0.264,63,Multi-HNSW-128,Connections-64
0.192,45,C-Multi-HNSW-128,Connections-64
0.205,45,C-Multi-HNSW-128,Connections-64
0.209,45,C-Multi-HNSW-128,Connections-64
0.213,45,C-Multi-HNSW-128,Connections-64
0.214,45,C-Multi-HNSW-128,Connections-64
0.226,45,C-Multi-HNSW-128,Connections-64
0.226,45,C-Multi-HNSW-128,Connections-64
0.223,45,C-Multi-HNSW-128,Connections-64
0.225,45,C-Multi-HNSW-128,Connections-64
0.222,45,C-Multi-HNSW-128,Connections-64
0.22,45,C-Multi-HNSW-128,Connections-64
0.189,89,Multi-HNSW-256,Connections-64
0.249,89,Multi-HNSW-256,Connections-64
0.268,89,Multi-HNSW-256,Connections-64
0.273,89,Multi-HNSW-256,Connections-64
0.273,89,Multi-HNSW-256,Connections-64
0.272,89,Multi-HNSW-256,Connections-64
0.268,89,Multi-HNSW-256,Connections-64
0.265,89,Multi-HNSW-256,Connections-64
0.266,89,Multi-HNSW-256,Connections-64
0.265,89,Multi-HNSW-256,Connections-64
0.264,89,Multi-HNSW-256,Connections-64
0.218,66,C-Multi-HNSW-256,Connections-64
0.233,66,C-Multi-HNSW-256,Connections-64
0.242,66,C-Multi-HNSW-256,Connections-64
0.244,66,C-Multi-HNSW-256,Connections-64
0.243,66,C-Multi-HNSW-256,Connections-64
0.247,66,C-Multi-HNSW-256,Connections-64
0.235,66,C-Multi-HNSW-256,Connections-64
0.231,66,C-Multi-HNSW-256,Connections-64
0.227,66,C-Multi-HNSW-256,Connections-64
0.219,66,C-Multi-HNSW-256,Connections-64
0.222,66,C-Multi-HNSW-256,Connections-64
