Recall,QPS,Algorithm,Dataset
0.0,69.08272028801169,Dessert,CLERC-384
0.0,27.5487526725701,Dessert,CLERC-384
0.0,77.69396447695435,Dessert,CLERC-384
0.0,59.86968748495385,Dessert,CLERC-384
0.0,49.8007180641235,Dessert,CLERC-384
0.0,110.95820025642954,Dessert,CLERC-384
0.0,61.62040201696849,Dessert,CLERC-384
0.001,45.83610416803771,Dessert,CLERC-384
0.001,95.59609571542181,Dessert,CLERC-384
0.001,81.63365888786156,Dessert,CLERC-384
0.002,39.9292739462736,Dessert,CLERC-384
0.002,32.97274780911831,Dessert,CLERC-384
0.003,24.40708590610606,Dessert,CLERC-384
0.004,18.68456169392025,Dessert,CLERC-384
0.005,21.460245422118707,Dessert,CLERC-384
0.007,2.084080128712789,IGP,CLERC-384
0.011,2.016771471557472,IGP,CLERC-384
0.015,1.4331287780857411,IGP,CLERC-384
0.025,1.2964485089545699,IGP,CLERC-384
0.033,0.8814284782489895,IGP,CLERC-384
0.0,1.4177921573409025,Plaid,CLERC-384
0.004,2.519412069999345,Plaid,CLERC-384
0.004,2.333526238169022,Plaid,CLERC-384
0.009,2.548166721452251,Plaid,CLERC-384
0.009,2.7068507686102756,Plaid,CLERC-384
0.022,2.733383080905406,Plaid,CLERC-384
0.022,1.3554414876241414,Plaid,CLERC-384
0.025,2.3654586269458857,Plaid,CLERC-384
0.025,1.1187158931492076,Plaid,CLERC-384
0.031,0.9735069810185609,Plaid,CLERC-384
0.031,2.191401379268028,Plaid,CLERC-384
0.047,1.9310909505215876,Plaid,CLERC-384
0.078,1.2822140246005584,Plaid,CLERC-384
0.173,950.096,Multi-HNSW,CLERC-384
0.209,905.282,Multi-HNSW,CLERC-384
0.235,867.665,Multi-HNSW,CLERC-384
0.238,846.577,Multi-HNSW,CLERC-384
0.238,827.569,Multi-HNSW,CLERC-384
0.234,728.306,Multi-HNSW,CLERC-384
0.239,572.647,Multi-HNSW,CLERC-384
0.245,474.392,Multi-HNSW,CLERC-384
0.244,357.873,Multi-HNSW,CLERC-384
0.251,281.363,Multi-HNSW,CLERC-384
0.254,233.863,Multi-HNSW,CLERC-384
0.203,626.011,C-Multi-HNSW,CLERC-384
0.214,626.652,C-Multi-HNSW,CLERC-384
