k,Recall,QPS
1,0.317614,2157.32
5,0.546463,2349.55
10,0.60749,2213.58
1,0.317614,2254.01
5,0.546463,2128.07
10,0.60749,2019.57
1,0.317614,1959.44
5,0.546463,2005.94
10,0.60749,2178.1
1,0.317614,2124.36
5,0.546463,1914.94
10,0.60749,1964.49
1,0.317614,1935.88
5,0.546463,1963.28
10,0.60749,1942.36
1,0.317614,2035.34
5,0.546463,2169.32
10,0.60749,1981.77
1,0.335645,1756.95
5,0.582524,1692.04
10,0.644938,1666.27
1,0.34258,1270.65
5,0.592233,1205.17
10,0.653259,1241.68
1,0.352289,790.076
5,0.592233,913.88
10,0.667129,967.868
1,0.338419,604.758
5,0.572816,667.622
10,0.647712,678.094
1,0.323162,493.35
5,0.560333,550.755
10,0.626907,578.841
